source,target,weight
20372,14793,2
20372,16008,2
27533,14314,3
20768,16011,1
27544,9216,1
26415,13107,0
26019,16008,3
12527,16034,1
12417,15923,1
27567,16034,5
27432,16027,1
21608,16036,0
27581,16049,4
21044,16048,0
23305,16055,1
27250,16040,1
27551,15864,2
27551,11747,2
13727,16062,8
27613,989,-1
836,16066,6
14675,16066,6
8820,16066,2
21608,16070,3
27627,16071,2
836,16060,8
27250,16062,5
27632,16078,1
27632,16078,0
27632,16073,0
12527,16060,11
27581,16076,1
8560,8054,2
26562,16087,5
8560,15832,0
8560,15974,2
23305,16088,1
8560,16087,3
2975,16088,5
13002,16069,2
9728,16073,0
21608,16099,1
13727,16078,1
13002,16023,0
13002,16021,0
21608,16107,1
20354,14222,0
21608,16110,0
8517,11940,0
18416,15535,1
19161,16117,1
27432,11940,0
27432,14964,0
27250,16122,0
21608,16128,2
21608,16124,1
21608,16131,0
24742,16107,0
17618,11043,2
27432,16131,0
27426,16131,1
24996,16119,2
27551,16119,1
8820,16140,3
23305,16140,5
27632,16128,0
27632,16115,1
924,16087,1
27702,352,0
21608,16150,1
25174,16122,0
27712,16155,1
8820,16165,0
26050,15662,2
599,16165,2
599,15662,1
26050,16143,1
21749,16176,5
27450,15984,0
26596,11159,0
26596,11721,1
26596,11750,1
26596,14527,0
27426,16191,0
27760,11721,1
5091,11729,0
27551,16154,0
27551,16114,1
27003,11721,0
21024,16182,1
14904,16182,0
27551,16206,1
27780,16206,4
27632,10695,1
27632,16177,1
27632,16104,0
20933,16098,0
20933,15962,1
25295,16218,1
21608,16207,0
9123,16225,2
27827,14065,1
471,16231,1
21608,16235,1
27426,16128,4
27432,16243,3
24945,16243,2
26917,16219,2
21608,16247,2
13727,16251,7
924,16237,1
27760,6318,0
924,16251,5
21024,16252,0
836,16246,7
2576,16159,1
27724,16186,0
27632,16232,2
19263,16229,0
26394,16265,6
21608,16268,1
21608,16261,1
26050,16272,5
8878,11131,0
8878,15140,2
21262,16266,2
27900,8941,0
21608,16266,1
21024,16280,0
27760,8941,1
12341,15697,1
24996,16285,3
14675,16297,1
19255,16179,0
21,16295,6
18416,16298,1
836,16295,4
27250,15699,0
8820,16298,2
18626,14346,1
18626,15878,1
381,16315,0
16853,16315,1
9123,16317,2
26394,16326,4
26394,16324,1
23305,16323,0
27973,6107,3
26050,16325,0
26394,16333,2
27984,14999,1
24818,12645,1
27983,16323,0
8005,16339,0
381,16348,2
26243,16348,1
20492,16348,1
21024,16361,5
26243,16347,2
8830,16363,3
28031,16363,1
23305,16371,3
924,16371,1
28034,6232,0
28034,527,0
20907,16325,1
28040,15328,1
26394,16347,1
25934,16370,0
25800,16380,1
27632,16380,0
381,16395,0
9123,16395,1
28086,16399,2
924,16389,3
28092,10541,-1
28086,6107,-1
27983,16395,-1
27992,9915,1
28129,16416,4
28127,6084,1
28129,16411,4
21608,16422,-2
21608,16424,2
28086,16422,2
21608,16428,0
28161,997,0
26243,16370,2
25800,16349,1
27741,16179,0
26562,16444,5
9123,16448,1
8792,16179,0
27989,16448,0
27989,14181,2
17020,16446,1
17020,16163,1
28209,16433,0
28209,16280,3
19046,16463,0
26562,16463,8
28222,13490,12
28129,16422,5
15527,16441,1
15527,16357,2
8560,16480,0
28129,16472,3
21,16485,1
12903,16363,2
21608,16488,2
27989,16490,0
28234,16475,1
5380,16374,4
24215,16494,1
1077,16404,1
16853,16346,2
